Folder,Investing,Name,Enable
BMNR,1232047,BMNR,1
BNB_USD,1061448,BNB/USD,1
BTC_USD,1057391,BTC/USD,1
CME_MQNc1,1131598,MQNc1,1
COIN,1172292,COIN,1
ETH_USD,1061443,ETH/USD,1
EWJ,37487,EWJ,1
HK50,179,HK50,1
IND50,8985,IND50,1
INR_USD,941148,INR/USD,1
NYSE_INDL,44925,INDL,1
NYSE_NUGT,44639,NUGT,1
SOL_USD,1177183,SOL/USD,1
SPXL,14174,SPXL,1
TQQQ,45494,TQQQ,1
TSE_1458,962257,1458,1
TSE_1570,953291,1570,1
TSE_1572,953352,1572,1
TSE_2040,953316,2040,1
TSE_2046,953322,2046,1
TSE_JP225,178,JP225,1
US30,1175152,US30,1
US500,166,US500,1
XAU_USD,68,XAU/USD,1
XRP_USD,1057392,XRP/USD,1
